City,Cloudiness (%),Country,Date,Humidity (%),Lat,Lng,Max Temp (F),Wind Speed (mph)
luderitz,0,NA,1547192392,99,-26.65,15.16,62.18,3.06
campoverde,0,IT,1547191200,74,41.54,12.73,35.6,5.82
cabo san lucas,0,MX,1547192373,100,22.89,-109.91,71.13,1.95
norman wells,40,CA,1547190000,65,65.28,-126.83,-40.01,3.4
yellowknife,90,CA,1547190000,76,62.45,-114.38,-5.81,14.99
savannakhet,40,TH,1547190000,46,16.57,104.76,91.4,2.24
hilo,40,US,1547190240,84,19.71,-155.08,69.08,4.7
souillac,20,FR,1547190000,100,45.6,-0.6,30.2,2.84
katsuura,75,JP,1547190000,88,33.93,134.5,51.8,10.29
kerchevskiy,92,RU,1547192395,77,59.95,56.29,11.01,7.31
ponta do sol,48,BR,1547192396,84,-20.63,-46.0,65.6,3.06
kapaa,1,US,1547189760,90,22.08,-159.32,69.98,5.82
cape town,75,ZA,1547190000,60,-33.93,18.42,69.8,24.16
bend,1,US,1547190900,86,44.06,-121.32,35.96,8.05
lufilufi,8,WS,1547192397,100,-13.87,-171.6,84.59,8.66
rio rancho,90,US,1547190900,100,35.27,-106.63,37.4,5.82
necochea,0,AR,1547192398,100,-38.55,-58.74,42.6,4.41
ambilobe,80,MG,1547192398,97,-13.19,49.05,81.75,5.75
touros,20,BR,1547190000,88,-5.2,-35.46,75.2,4.7
lagoa,0,PT,1547190000,31,37.14,-8.45,48.2,14.99
guerrero negro,0,MX,1547192399,100,27.97,-114.04,53.18,5.41
la ronge,90,CA,1547190000,84,55.1,-105.3,1.4,6.93
bluff,36,AU,1547192400,63,-23.58,149.07,79.28,8.99
puerto ayora,56,EC,1547192400,100,-0.74,-90.35,73.61,3.62
burnie,20,AU,1547192400,99,-41.05,145.91,63.93,7.65
porto novo,20,BR,1547190000,94,-23.68,-45.44,71.6,2.24
lebu,0,ET,1547190000,31,8.96,38.73,64.4,13.87
thompson,20,CA,1547190000,75,55.74,-97.86,-13.01,8.05
parrsboro,90,CA,1547190000,86,45.41,-64.33,26.6,17.22
bredasdorp,0,ZA,1547190000,44,-34.53,20.04,75.2,8.05
ushuaia,75,AR,1547190000,76,-54.81,-68.31,51.8,21.92
coihaique,0,CL,1547190000,53,-45.58,-72.07,50.0,3.36
bandar,32,ID,1547192403,59,-4.2,104.14,90.35,11.23
bilma,0,NE,1547192403,36,18.69,12.92,67.35,4.74
kavieng,0,PG,1547192403,96,-2.57,150.8,86.16,11.56
atuona,80,PF,1547192404,100,-9.8,-139.03,81.26,18.05
hobart,20,AU,1547190000,24,-42.88,147.33,82.4,19.46
kavaratti,0,IN,1547192404,100,10.57,72.64,81.71,7.99
rikitea,80,PF,1547192404,100,-23.12,-134.97,79.05,17.05
georgetown,20,GY,1547190000,100,6.8,-58.16,71.6,4.7
alofi,48,NU,1547190000,88,-19.06,-169.92,78.8,12.75
casalmaggiore,0,IT,1547191200,73,44.99,10.42,26.6,6.93
roald,75,NO,1547191200,55,62.58,6.12,39.2,16.11
vanimo,48,PG,1547192406,100,-2.67,141.3,81.66,10.78
moerai,92,PF,1547192407,100,-22.43,-151.33,75.05,9.22
port alfred,0,ZA,1547192407,70,-33.59,26.89,75.77,9.44
salinas,1,US,1547191200,93,36.67,-121.66,48.92,4.29
saskylakh,56,RU,1547192408,70,71.97,114.09,-36.56,5.19
pucallpa,75,PE,1547190000,94,-8.38,-74.54,75.2,5.82
verkhnyaya toyma,92,RU,1547192408,77,62.24,45.0,16.05,11.79
sensenti,0,HN,1547192409,92,14.5,-88.94,50.3,2.28
gorahun,0,LR,1547192409,80,8.17,-10.34,73.65,3.96
busselton,0,AU,1547192410,89,-33.64,115.35,71.99,12.68
hasaki,20,JP,1547190000,27,35.73,140.83,50.0,11.41
codrington,0,AU,1547190000,48,-28.95,153.24,86.0,12.75
esil,8,KZ,1547192411,84,51.96,66.41,5.12,4.52
road town,75,VG,1547189580,87,18.42,-64.62,75.92,4.7
san felipe,0,CL,1547192412,75,-32.75,-70.73,46.11,1.83
bethel,1,US,1547189760,76,60.79,-161.76,-20.03,11.41
tasiilaq,88,GL,1547189400,79,65.61,-37.64,19.4,10.29
jinxiang,24,CN,1547192413,67,35.07,116.31,41.57,3.18
fortuna,0,ES,1547190000,63,38.18,-1.13,39.2,2.24
bandarbeyla,0,SO,1547192414,100,9.49,50.81,77.57,19.95
provideniya,0,RU,1547192414,100,64.42,-173.23,-3.98,11.34
faanui,88,PF,1547192415,100,-16.48,-151.75,81.17,16.15
hithadhoo,80,MV,1547192415,100,-0.6,73.08,79.5,6.76
havoysund,40,NO,1547191200,92,71.0,24.66,23.0,5.82
hermanus,0,ZA,1547192416,50,-34.42,19.24,71.72,14.81
mar del plata,24,AR,1547192416,56,-46.43,-67.52,56.78,20.18
pervomayskiy,88,RU,1547192416,97,53.24,40.29,20.73,7.99
muisne,80,EC,1547192417,99,0.61,-80.02,68.57,3.18
pevek,32,RU,1547192126,79,69.7,170.27,4.71,15.7
samarinda,32,ID,1547192417,81,-0.5,117.14,83.6,3.4
giyani,0,ZA,1547192418,47,-23.32,30.73,96.6,7.31
springbok,0,ZA,1547189280,48,-29.67,17.88,62.6,3.36
goure,0,NE,1547192127,31,13.98,10.27,74.87,6.08
colquechaca,92,BO,1547192418,92,-18.7,-66.0,46.65,1.61
ulladulla,90,AU,1547190000,100,-35.36,150.48,71.6,5.82
windhoek,0,NA,1547190000,15,-22.57,17.08,75.2,1.12
airai,68,TL,1547192419,83,-8.93,125.41,77.21,1.95
makakilo city,20,US,1547189820,87,21.35,-158.09,75.02,3.36
port elizabeth,90,US,1547189760,53,39.31,-74.98,30.92,12.75
bulawayo,12,ZW,1547192420,75,-20.16,28.59,82.83,4.97
husavik,88,CA,1547192420,84,50.56,-96.99,12.45,6.64
murupara,0,NZ,1547192421,38,-38.46,176.71,70.73,3.96
atambua,32,ID,1547192421,91,-9.11,124.89,83.51,6.53
faya,0,SA,1547190000,39,18.39,42.45,68.0,10.29
ukwa,0,NG,1547190000,94,5.47,8.01,77.0,3.74
kyzyl-suu,0,KG,1547192422,100,42.34,78.0,26.0,2.62
nome,1,US,1547190900,89,30.04,-94.42,44.78,7.99
clonakilty,75,IE,1547191800,100,51.62,-8.87,46.4,3.36
bubaque,24,GW,1547192133,100,11.28,-15.83,78.02,6.42
torbay,90,CA,1547190000,100,47.66,-52.73,35.6,8.05
nanortalik,92,GL,1547192423,96,60.14,-45.24,28.07,19.39
mercedes,0,UY,1547192424,97,-33.25,-58.03,60.83,9.66
gulu,0,UG,1547192424,28,2.77,32.3,91.16,14.03
zhezkazgan,40,KZ,1547190000,84,47.8,67.71,1.4,8.95
ahipara,76,NZ,1547192425,85,-35.17,173.16,69.74,8.88
praya,75,ID,1547190000,66,-8.71,116.27,87.8,10.29
aleksandrovskiy zavod,0,RU,1547192426,77,50.92,117.94,-2.49,2.62
kaitangata,0,NZ,1547192426,56,-46.28,169.85,51.96,13.47
saint-philippe,90,CA,1547190000,65,45.36,-73.48,8.96,18.34
arlit,0,NE,1547192426,66,18.74,7.39,63.44,4.63
albany,90,US,1547191020,59,42.65,-73.75,19.94,19.46
wajima,20,JP,1547190000,64,37.4,136.9,37.4,3.36
tokur,0,RU,1547192427,75,53.13,132.9,-18.69,2.39
mataura,0,NZ,1547192429,58,-46.19,168.86,51.33,11.68
punta arenas,90,CL,1547190000,81,-53.16,-70.91,50.0,14.99
sherman,90,US,1547192100,51,33.64,-96.61,46.94,9.17
qaanaaq,44,GL,1547192429,90,77.48,-69.36,-15.45,8.88
nhulunbuy,8,AU,1547190000,49,-12.18,136.78,93.2,12.75
geraldton,90,CA,1547190000,70,49.72,-86.95,-2.21,2.24
yaring,40,TH,1547190000,74,6.87,101.37,84.2,9.17
